"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"15","L1 1","gp",14,"b","0","-","-",3384,-0.5,-0.5,3384
"61","L1 1","gp",9,"a","0","-","-",5412,-0.5,0.5,5412
"67","L1 1","gp",6,"b","0","-","-",3704,-0.5,-0.5,3704
"74","L1 1","gp",5,"a","0","-","-",6646,-0.5,0.5,6646
"99","L1 1","gp",17,"a","0","-","-",4075,-0.5,0.5,4075
"105","L1 1","gp",2,"b","0","-","-",3114,-0.5,-0.5,3114
"115","L1 1","gp",18,"b","0","-","-",4411,-0.5,-0.5,4411
"125","L1 1","gp",1,"a","0","-","-",3168,-0.5,0.5,3168
"129","L1 1","gp",10,"b","0","-","-",4849,-0.5,-0.5,4849
"135","L1 1","gp",13,"a","0","-","-",7652,-0.5,0.5,7652
"146","L1 1","gp",21,"a","0","-","-",7780,-0.5,0.5,7780
"150","L1 1","gp",22,"b","0","-","-",5617,-0.5,-0.5,5617
"194","L1 2","gp",16,"a","0","-","-",7234,-0.5,0.5,7234
"201","L1 2","gp",17,"b","0","-","-",4808,-0.5,-0.5,4808
"208","L1 2","gp",4,"a","0","-","-",7346,-0.5,0.5,7346
"260","L1 2","gp",20,"a","0","-","-",5120,-0.5,0.5,5120
"268","L1 2","gp",8,"a","0","-","-",6755,-0.5,0.5,6755
"274","L1 2","gp",1,"b","0","-","-",2699,-0.5,-0.5,2699
"285","L1 2","gp",12,"a","0","-","-",3499,-0.5,0.5,3499
"288","L1 2","gp",24,"a","0","-","-",4612,-0.5,0.5,4612
"306","L1 2","gp",9,"b","0","-","-",2218,-0.5,-0.5,2218
"313","L1 2","gp",5,"b","0","-","-",5668,-0.5,-0.5,5668
"341","L1 2","gp",21,"b","0","-","-",2691,-0.5,-0.5,2691
"351","L1 2","gp",13,"b","0","-","-",4196,-0.5,-0.5,4196
"378","L1 3","gp",4,"b","0","-","-",7373,-0.5,-0.5,7373
"381","L1 3","gp",20,"b","0","-","-",5470,-0.5,-0.5,5470
"393","L1 3","gp",12,"b","0","-","-",7412,-0.5,-0.5,7412
"429","L1 3","gp",24,"b","0","-","-",4475,-0.5,-0.5,4475
"435","L1 3","gp",15,"a","0","-","-",11292,-0.5,0.5,11292
"447","L1 3","gp",23,"a","0","-","-",10354,-0.5,0.5,10354
"477","L1 3","gp",7,"a","0","-","-",10055,-0.5,0.5,10055
"481","L1 3","gp",16,"b","0","-","-",5230,-0.5,-0.5,5230
"498","L1 3","gp",11,"a","0","-","-",11376,-0.5,0.5,11376
"507","L1 3","gp",19,"a","0","-","-",14297,-0.5,0.5,14297
"524","L1 3","gp",3,"a","0","-","-",9621,-0.5,0.5,9621
"534","L1 3","gp",8,"b","0","-","-",4599,-0.5,-0.5,4599
"558","L1 4","gp",11,"b","0","-","-",2231,-0.5,-0.5,2231
"584","L1 4","gp",6,"a","0","-","-",2830,-0.5,0.5,2830
"602","L1 4","gp",2,"a","0","-","-",3400,-0.5,0.5,3400
"606","L1 4","gp",15,"b","0","-","-",3273,-0.5,-0.5,3273
"627","L1 4","gp",14,"a","0","-","-",2550,-0.5,0.5,2550
"631","L1 4","gp",23,"b","0","-","-",2666,-0.5,-0.5,2666
"644","L1 4","gp",22,"a","0","-","-",3316,-0.5,0.5,3316
"651","L1 4","gp",7,"b","0","-","-",2191,-0.5,-0.5,2191
"669","L1 4","gp",3,"b","0","-","-",2338,-0.5,-0.5,2338
"687","L1 4","gp",10,"a","0","-","-",2998,-0.5,0.5,2998
"693","L1 4","gp",18,"a","0","-","-",1874,-0.5,0.5,1874
"707","L1 4","gp",19,"b","0","-","-",2379,-0.5,-0.5,2379
"764","L1 5","gp",1,"a","0","-","-",2999,-0.5,0.5,2999
"770","L1 5","gp",2,"b","0","-","-",4890,-0.5,-0.5,4890
"780","L1 5","gp",18,"b","0","-","-",3585,-0.5,-0.5,3585
"797","L1 5","gp",21,"a","0","-","-",2526,-0.5,0.5,2526
"807","L1 5","gp",13,"a","0","-","-",6581,-0.5,0.5,6581
"826","L1 5","gp",14,"b","0","-","-",4740,-0.5,-0.5,4740
"841","L1 5","gp",6,"b","0","-","-",5734,-0.5,-0.5,5734
"844","L1 5","gp",22,"b","0","-","-",4039,-0.5,-0.5,4039
"863","L1 5","gp",10,"b","0","-","-",3259,-0.5,-0.5,3259
"872","L1 5","gp",17,"a","0","-","-",2410,-0.5,0.5,2410
"876","L1 5","gp",5,"a","0","-","-",2118,-0.5,0.5,2118
"884","L1 5","gp",9,"a","0","-","-",3016,-0.5,0.5,3016
"914","L1 6","gp",5,"b","0","-","-",4361,-0.5,-0.5,4361
"947","L1 6","gp",17,"b","0","-","-",3031,-0.5,-0.5,3031
"962","L1 6","gp",20,"a","0","-","-",2782,-0.5,0.5,2782
"972","L1 6","gp",9,"b","0","-","-",4387,-0.5,-0.5,4387
"991","L1 6","gp",24,"a","0","-","-",2251,-0.5,0.5,2251
"997","L1 6","gp",12,"a","0","-","-",8322,-0.5,0.5,8322
"1000","L1 6","gp",13,"b","0","-","-",3419,-0.5,-0.5,3419
"1014","L1 6","gp",8,"a","0","-","-",5270,-0.5,0.5,5270
"1018","L1 6","gp",16,"a","0","-","-",4348,-0.5,0.5,4348
"1028","L1 6","gp",4,"a","0","-","-",4466,-0.5,0.5,4466
"1049","L1 6","gp",1,"b","0","-","-",2689,-0.5,-0.5,2689
"1078","L1 6","gp",21,"b","0","-","-",3455,-0.5,-0.5,3455
"1095","L1 7","gp",3,"a","0","-","-",5657,-0.5,0.5,5657
"1104","L1 7","gp",4,"b","0","-","-",4410,-0.5,-0.5,4410
"1137","L1 7","gp",7,"a","0","-","-",3109,-0.5,0.5,3109
"1148","L1 7","gp",19,"a","0","-","-",7079,-0.5,0.5,7079
"1156","L1 7","gp",11,"a","0","-","-",4358,-0.5,0.5,4358
"1171","L1 7","gp",15,"a","0","-","-",4431,-0.5,0.5,4431
"1178","L1 7","gp",12,"b","0","-","-",3390,-0.5,-0.5,3390
"1185","L1 7","gp",23,"a","0","-","-",7468,-0.5,0.5,7468
"1213","L1 7","gp",16,"b","0","-","-",5496,-0.5,-0.5,5496
"1223","L1 7","gp",8,"b","0","-","-",3715,-0.5,-0.5,3715
"1244","L1 7","gp",24,"b","0","-","-",4844,-0.5,-0.5,4844
"1247","L1 7","gp",20,"b","0","-","-",3490,-0.5,-0.5,3490
